
b4byron#boost,Gold 2,32%,141.1,47.8,01/20/21,https://tracker.gg/valorant/profile/riot/b4byron%23boost?playlist=competitive,1.03,226.7,0.8
Pimp#2031,Gold 3,17%,143.5,49.7,01/26/21,https://tracker.gg/valorant/profile/riot/Pimp%232031?playlist=competitive,1.05,229.6,0.8
ShaquilleObamazz#davis,NONE,NONE,NONE,NONE,02/14/21,https://tracker.gg/valorant/profile/riot/ShaquilleObamazz%23davis?playlist=competitive,NONE,NONE,NONE
mikey#cool,Gold 1,24%,168.4,48.6,02/06/21,https://tracker.gg/valorant/profile/riot/mikey%23cool?playlist=competitive,1.16,272.1,0.9
konn#6ft5,Silver 3,25%,146.5,51.1,02/06/21,https://tracker.gg/valorant/profile/riot/konn%236ft5?playlist=competitive,1.04,226.5,0.8
JustinStrayer#NA1,Platinum 2,18%,134.0,48.8,02/14/21,https://tracker.gg/valorant/profile/riot/JustinStrayer%23NA1?playlist=competitive,1.01,210.6,0.7
JORDANIANKILLA#999,NONE,NONE,NONE,NONE,02/06/21,https://tracker.gg/valorant/profile/riot/JORDANIANKILLA%23999?playlist=competitive,NONE,NONE,NONE
JOHNHAK#NA1,Unrated,41%,152.6,100.,01/20/21,https://tracker.gg/valorant/profile/riot/JOHNHAK%23NA1?playlist=competitive,1.00,217.1,0.7
nowaXtv#6969,Unrated,18%,115.5,51.8,01/18/21,https://tracker.gg/valorant/profile/riot/nowaXtv%236969?playlist=competitive,0.80,174.4,0.6
JimmiWoo#3574,Gold 3,16%,147.0,50.5,02/14/21,https://tracker.gg/valorant/profile/riot/JimmiWoo%233574?playlist=competitive,1.10,224.4,0.8
OMI gam#tuff,NONE,NONE,NONE,NONE,01/26/21,https://tracker.gg/valorant/profile/riot/OMI%20gam%23tuff?playlist=competitive,NONE,NONE,NONE
sketchywolf#1522,Immortal,28%,154.3,49.6,01/24/21,https://tracker.gg/valorant/profile/riot/sketchywolf%231522?playlist=competitive,1.10,240.7,0.8
Aethezr#4170,Gold 3,30%,139.5,52.4,02/06/21,https://tracker.gg/valorant/profile/riot/Aethezr%234170?playlist=competitive,1.00,216.6,0.7
Gorilla#OoAh,Platinum 2,34%,140.2,48.2,02/14/21,https://tracker.gg/valorant/profile/riot/Gorilla%23OoAh?playlist=competitive,1.04,213.1,0.8
Gannon#cooly,Gold 2,30%,141.8,52.2,01/26/21,https://tracker.gg/valorant/profile/riot/Gannon%23cooly?playlist=competitive,1.04,222.4,0.8
Fearless#5280,NONE,NONE,NONE,NONE,01/22/21,https://tracker.gg/valorant/profile/riot/Fearless%235280?playlist=competitive,NONE,NONE,NONE
Jestrus#0000,NONE,NONE,NONE,NONE,01/20/21,https://tracker.gg/valorant/profile/riot/Jestrus%230000?playlist=competitive,NONE,NONE,NONE
AmethystFlyer#7113,NONE,NONE,NONE,NONE,01/24/21,https://tracker.gg/valorant/profile/riot/AmethystFlyer%237113?playlist=competitive,NONE,NONE,NONE
Mingy#725,Platinum 3,28%,131.4,50.1,01/21/21,https://tracker.gg/valorant/profile/riot/Mingy%23725?playlist=competitive,0.94,204.7,0.7
MangoYogurt#8888,NONE,NONE,NONE,NONE,02/06/21,https://tracker.gg/valorant/profile/riot/MangoYogurt%238888?playlist=competitive,NONE,NONE,NONE
Russell#1234,Diamond 1,28%,149.3,53.5,01/20/21,https://tracker.gg/valorant/profile/riot/Russell%231234?playlist=competitive,1.21,235.3,0.8
Sppoptropica#2769,Gold 3,17%,127.6,48.7,02/06/21,https://tracker.gg/valorant/profile/riot/Sppoptropica%232769?playlist=competitive,0.95,197.3,0.7
hehayea#BREAD,Diamond 1,23%,150.0,52.2,01/26/21,https://tracker.gg/valorant/profile/riot/hehayea%23BREAD?playlist=competitive,1.15,237.1,0.8
carson#420,NONE,NONE,NONE,NONE,01/17/21,https://tracker.gg/valorant/profile/riot/carson%23420?playlist=competitive,NONE,NONE,NONE
Tibeaux#NA1,Silver 3,33%,142.1,46.0,01/20/21,https://tracker.gg/valorant/profile/riot/Tibeaux%23NA1?playlist=competitive,1.09,218.6,0.8
Andyツ#4755,NONE,NONE,NONE,NONE,01/18/21,https://tracker.gg/valorant/profile/riot/Andy%E3%83%84%234755?playlist=competitive,NONE,NONE,NONE
Apple#6658,Platinum 1,35%,139.6,55.8,01/26/21,https://tracker.gg/valorant/profile/riot/Apple%236658?playlist=competitive,1.09,219.6,0.8
JumboMyMumbo#1803,NONE,NONE,NONE,NONE,02/14/21,https://tracker.gg/valorant/profile/riot/JumboMyMumbo%231803?playlist=competitive,NONE,NONE,NONE
Jeee#Jee,NONE,NONE,NONE,NONE,01/18/21,https://tracker.gg/valorant/profile/riot/Jeee%23Jee?playlist=competitive,NONE,NONE,NONE
ne0#9899,Gold 2,18%,124.9,57.0,01/26/21,https://tracker.gg/valorant/profile/riot/ne0%239899?playlist=competitive,0.90,188.4,0.6
Dennmeister#NA1,NONE,NONE,NONE,NONE,01/26/21,https://tracker.gg/valorant/profile/riot/Dennmeister%23NA1?playlist=competitive,NONE,NONE,NONE
BriskItachi#8934,Iron 3,23%,104.0,43.5,02/06/21,https://tracker.gg/valorant/profile/riot/BriskItachi%238934?playlist=competitive,0.68,138.7,0.5
vpool#4427,NONE,NONE,NONE,NONE,01/18/21,https://tracker.gg/valorant/profile/riot/vpool%234427?playlist=competitive,NONE,NONE,NONE
ballinhughes#NA1,NONE,NONE,NONE,NONE,01/17/21,https://tracker.gg/valorant/profile/riot/ballinhughes%23NA1?playlist=competitive,NONE,NONE,NONE
SECT Zeek#SECT,Platinum 1,19%,148.5,50.4,01/18/21,https://tracker.gg/valorant/profile/riot/SECT%20Zeek%23SECT?playlist=competitive,1.14,223.2,0.8
hrunky#7662,NONE,NONE,NONE,NONE,01/18/21,https://tracker.gg/valorant/profile/riot/hrunky%237662?playlist=competitive,NONE,NONE,NONE
jojo#2222,Immortal,22%,144.8,51.1,01/24/21,https://tracker.gg/valorant/profile/riot/jojo%232222?playlist=competitive,1.08,236.6,0.8
connorZ#53XY,Gold 2,15%,131.1,51.9,01/26/21,https://tracker.gg/valorant/profile/riot/connorZ%2353XY?playlist=competitive,0.97,203.2,0.7
L I M B 0#NA1,NONE,NONE,NONE,NONE,01/21/21,https://tracker.gg/valorant/profile/riot/L%20I%20M%20B%200%23NA1?playlist=competitive,NONE,NONE,NONE
Anoth#8560,Platinum 2,50%,150.1,52.8,01/26/21,https://tracker.gg/valorant/profile/riot/Anoth%238560?playlist=competitive,1.17,233.4,0.8
